ticket_id,agent_id,created_at,ticket_category,resolution_hours,priority,status
SUP1200001,A006,2025-07-24 17:46:24,ошибка системы,46.0,high,resolved
SUP1200002,A025,2025-05-31 05:38:18,другое,67.0,high,in_progress
SUP1200003,A002,2025-01-18 09:00:41,оборудование,15.0,medium,escalated
SUP1200004,A004,2025-04-06 03:14:26,доступ,49.6,low,resolved
SUP1200005,A005,2025-10-15 16:08:49,ошибка системы,7.5,high,in_progress
SUP1200006,A021,2025-03-31 23:33:15,доступ,14.1,low,resolved
SUP1200007,A014,2025-01-19 17:23:28,ошибка системы,36.9,low,in_progress
SUP1200008,A001,2025-11-21 22:22:02,интеграция,51.1,high,resolved
SUP1200009,A029,2025-05-02 22:24:14,другое,61.9,high,escalated
SUP1200010,A022,2025-09-08 16:33:11,интеграция,53.7,medium,in_progress
SUP1200011,A014,2025-12-18 17:12:11,доступ,1.6,low,resolved
SUP1200012,A021,2025-11-21 15:33:48,доступ,49.4,medium,resolved
SUP1200013,A013,2025-03-08 00:57:52,ошибка системы,59.5,medium,resolved
SUP1200014,A022,2025-01-04 11:51:53,доступ,38.1,high,in_progress
SUP1200015,A016,2025-09-16 14:43:09,другое,69.5,medium,new
SUP1200016,A030,2025-03-10 04:47:51,доступ,0.8,critical,resolved
SUP1200017,A004,2025-03-18 18:03:48,интеграция,59.0,low,new
SUP1200018,A029,2025-07-06 22:14:20,другое,24.4,low,resolved
SUP1200019,A027,2025-12-19 03:31:15,доступ,47.0,low,resolved
SUP1200020,A006,2025-03-23 17:07:03,оборудование,50.1,medium,escalated
SUP1200021,A009,2025-08-11 04:41:34,оборудование,22.4,medium,in_progress
SUP1200022,A001,2025-05-16 21:42:47,интеграция,71.7,medium,in_progress
SUP1200023,A022,2025-02-23 11:23:54,ошибка системы,7.9,low,resolved
SUP1200024,A017,2025-01-10 10:54:21,ошибка системы,11.7,high,resolved
SUP1200025,A028,2025-07-05 12:39:03,доступ,64.3,low,resolved
