ticket_id,agent_id,created_at,ticket_category,resolution_hours,priority,status
SUP1200131,A019,2025-01-01 21:25:56,доступ,16.3,high,escalated
SUP1200138,A021,2025-01-02 06:59:18,ошибка системы,56.2,low,new
SUP1200203,A008,2025-01-02 17:37:30,другое,19.6,low,resolved
SUP1200070,A030,2025-01-04 00:38:16,оборудование,25.8,low,resolved
SUP1200014,A022,2025-01-04 11:51:53,доступ,38.1,high,in_progress
SUP1200125,A023,2025-01-05 19:35:04,другое,20.8,low,new
SUP1200094,A019,2025-01-06 00:12:39,другое,29.2,medium,escalated
SUP1200404,A009,2025-01-06 19:13:33,ошибка системы,7.8,medium,resolved
SUP1200194,A029,2025-01-07 07:23:17,ошибка системы,30.4,low,resolved
SUP1200306,A025,2025-01-07 23:00:30,оборудование,50.6,low,resolved
SUP1200469,A016,2025-01-08 11:47:33,другое,24.5,low,resolved
SUP1200288,A025,2025-01-08 14:46:34,интеграция,18.7,low,new
SUP1200262,A007,2025-01-08 20:28:53,доступ,38.6,high,resolved
SUP1200126,A010,2025-01-08 21:55:58,оборудование,15.6,low,resolved
SUP1200118,A023,2025-01-09 06:39:31,ошибка системы,19.8,low,resolved
SUP1200024,A017,2025-01-10 10:54:21,ошибка системы,11.7,high,resolved
SUP1200137,A018,2025-01-11 06:47:34,доступ,3.1,medium,in_progress
SUP1200144,A008,2025-01-15 09:46:27,интеграция,19.0,critical,in_progress
SUP1200175,A029,2025-01-16 14:39:02,ошибка системы,68.7,high,in_progress
SUP1200088,A003,2025-01-17 14:17:20,доступ,41.6,low,resolved
SUP1200095,A015,2025-01-17 16:23:14,доступ,36.4,high,resolved
SUP1200003,A002,2025-01-18 09:00:41,оборудование,15.0,medium,escalated
SUP1200310,A009,2025-01-18 20:58:27,доступ,49.2,low,resolved
SUP1200263,A015,2025-01-18 21:30:15,оборудование,71.0,medium,resolved
SUP1200027,A004,2025-01-19 05:25:03,ошибка системы,27.8,medium,resolved
