ticket_id,agent_id,created_at,ticket_category,resolution_hours,priority,status
SUP1200001,A006,2025-07-24 17:46:24,ошибка системы,46.0,high,resolved
SUP1200002,A025,2025-05-31 05:38:18,другое,67.0,high,in_progress
SUP1200003,A002,2025-01-18 09:00:41,оборудование,15.0,medium,escalated
SUP1200004,A004,2025-04-06 03:14:26,доступ,49.6,low,resolved
SUP1200005,A005,2025-10-15 16:08:49,ошибка системы,7.5,high,in_progress
SUP1200006,A021,2025-03-31 23:33:15,доступ,14.1,low,resolved
SUP1200007,A014,2025-01-19 17:23:28,ошибка системы,36.9,low,in_progress
SUP1200008,A001,2025-11-21 22:22:02,интеграция,51.1,high,resolved
SUP1200009,A029,2025-05-02 22:24:14,другое,61.9,high,escalated
SUP1200010,A022,2025-09-08 16:33:11,интеграция,53.7,medium,in_progress
SUP1200011,A014,2025-12-18 17:12:11,доступ,1.6,low,resolved
SUP1200012,A021,2025-11-21 15:33:48,доступ,49.4,medium,resolved
SUP1200013,A013,2025-03-08 00:57:52,ошибка системы,59.5,medium,resolved
SUP1200014,A022,2025-01-04 11:51:53,доступ,38.1,high,in_progress
SUP1200015,A016,2025-09-16 14:43:09,другое,69.5,medium,new
SUP1200016,A030,2025-03-10 04:47:51,доступ,0.8,critical,resolved
SUP1200017,A004,2025-03-18 18:03:48,интеграция,59.0,low,new
SUP1200018,A029,2025-07-06 22:14:20,другое,24.4,low,resolved
SUP1200019,A027,2025-12-19 03:31:15,доступ,47.0,low,resolved
SUP1200020,A006,2025-03-23 17:07:03,оборудование,50.1,medium,escalated
SUP1200021,A009,2025-08-11 04:41:34,оборудование,22.4,medium,in_progress
SUP1200022,A001,2025-05-16 21:42:47,интеграция,71.7,medium,in_progress
SUP1200023,A022,2025-02-23 11:23:54,ошибка системы,7.9,low,resolved
SUP1200024,A017,2025-01-10 10:54:21,ошибка системы,11.7,high,resolved
SUP1200025,A028,2025-07-05 12:39:03,доступ,64.3,low,resolved
SUP1200026,A023,2025-01-30 14:07:43,другое,9.0,low,resolved
SUP1200027,A004,2025-01-19 05:25:03,ошибка системы,27.8,medium,resolved
SUP1200028,A006,2025-08-21 21:15:23,оборудование,52.9,low,new
SUP1200029,A016,2025-04-12 14:45:11,ошибка системы,57.1,medium,new
SUP1200030,A007,2025-05-08 17:16:28,оборудование,68.8,medium,in_progress
SUP1200031,A029,2025-07-09 03:50:56,ошибка системы,57.0,low,in_progress
SUP1200032,A027,2025-06-04 19:50:20,интеграция,60.9,low,resolved
SUP1200033,A005,2025-12-29 07:21:07,другое,68.4,medium,resolved
SUP1200034,A009,2025-12-25 23:49:40,доступ,40.1,low,resolved
SUP1200035,A024,2025-12-06 16:55:01,оборудование,25.1,medium,resolved
SUP1200036,A019,2025-10-20 23:36:36,ошибка системы,55.0,medium,resolved
SUP1200037,A001,2025-05-13 16:37:19,доступ,12.2,low,resolved
SUP1200038,A027,2025-03-31 23:50:28,оборудование,5.4,medium,resolved
SUP1200039,A030,2025-08-26 10:10:28,оборудование,56.7,medium,resolved
SUP1200040,A026,2025-06-15 04:58:00,интеграция,68.5,high,new
SUP1200041,A008,2025-11-16 14:59:21,ошибка системы,32.1,high,resolved
SUP1200042,A020,2025-06-26 17:44:25,доступ,12.0,low,resolved
SUP1200043,A023,2025-05-19 04:23:46,ошибка системы,36.0,low,resolved
SUP1200044,A004,2025-12-14 09:40:47,ошибка системы,28.6,medium,in_progress
SUP1200045,A023,2025-09-24 13:54:25,другое,27.1,high,in_progress
SUP1200046,A030,2025-03-07 10:00:25,оборудование,45.4,low,in_progress
SUP1200047,A017,2025-04-08 01:41:53,оборудование,13.0,medium,in_progress
SUP1200048,A001,2025-09-30 23:40:31,другое,27.7,high,resolved
SUP1200049,A002,2025-07-19 03:49:34,другое,62.6,high,resolved
SUP1200050,A021,2025-03-31 12:44:07,ошибка системы,52.7,medium,resolved
SUP1200051,A027,2025-09-21 12:28:52,оборудование,4.5,low,in_progress
SUP1200052,A014,2025-07-17 03:33:18,доступ,37.2,low,in_progress
SUP1200053,A026,2025-02-06 13:25:08,интеграция,7.0,medium,resolved
SUP1200054,A022,2025-11-23 15:51:17,другое,69.0,low,resolved
SUP1200055,A002,2025-08-12 12:09:03,доступ,18.0,high,resolved
SUP1200056,A001,2025-09-29 02:09:12,доступ,67.2,low,resolved
SUP1200057,A025,2025-10-24 08:30:46,ошибка системы,60.1,low,resolved
SUP1200058,A013,2025-08-02 23:23:48,другое,39.9,low,resolved
SUP1200059,A023,2025-10-01 06:42:12,доступ,24.5,medium,escalated
SUP1200060,A008,2025-08-28 04:50:01,интеграция,61.8,medium,escalated
SUP1200061,A030,2025-03-01 01:08:56,доступ,11.4,medium,escalated
SUP1200062,A022,2025-01-25 08:48:40,интеграция,13.4,high,resolved
SUP1200063,A029,2025-04-28 23:01:53,интеграция,16.6,medium,resolved
SUP1200064,A009,2025-06-23 05:32:54,интеграция,43.2,low,new
SUP1200065,A024,2025-05-11 10:32:57,другое,23.0,high,resolved
SUP1200066,A020,2025-07-09 08:40:32,интеграция,71.2,high,in_progress
SUP1200067,A021,2025-11-08 01:11:15,другое,14.5,low,new
SUP1200068,A002,2025-06-27 22:40:33,доступ,58.1,low,resolved
SUP1200069,A017,2025-07-11 17:06:33,интеграция,7.4,high,resolved
SUP1200070,A030,2025-01-04 00:38:16,оборудование,25.8,low,resolved
SUP1200071,A006,2025-02-13 16:44:15,доступ,17.9,medium,in_progress
SUP1200072,A003,2025-09-12 19:32:14,оборудование,70.3,high,resolved
SUP1200073,A027,2025-07-31 19:32:21,оборудование,2.3,low,escalated
SUP1200074,A020,2025-10-30 05:25:39,ошибка системы,52.1,medium,resolved
SUP1200075,A030,2025-02-10 09:49:06,другое,18.2,low,resolved
SUP1200076,A017,2025-08-13 13:38:23,ошибка системы,58.5,low,resolved
SUP1200077,A006,2025-05-29 20:39:31,другое,22.8,medium,escalated
SUP1200078,A008,2025-01-27 14:10:39,ошибка системы,13.9,low,in_progress
SUP1200079,A014,2025-10-27 02:52:01,доступ,50.1,high,new
SUP1200080,A010,2025-10-09 15:15:16,оборудование,18.9,low,in_progress
SUP1200081,A020,2025-07-06 22:21:44,доступ,35.2,low,resolved
SUP1200082,A010,2025-06-09 10:31:27,другое,9.9,low,in_progress
SUP1200083,A015,2025-09-01 11:21:25,оборудование,52.3,high,resolved
SUP1200084,A008,2025-11-29 20:06:29,оборудование,29.6,low,in_progress
SUP1200085,A011,2025-08-17 03:06:32,другое,10.6,low,new
SUP1200086,A016,2025-12-28 22:16:45,доступ,53.5,medium,in_progress
SUP1200087,A026,2025-09-30 16:49:55,оборудование,7.9,medium,resolved
SUP1200088,A003,2025-01-17 14:17:20,доступ,41.6,low,resolved
SUP1200089,A015,2025-10-29 11:37:53,доступ,43.9,high,in_progress
SUP1200090,A013,2025-07-18 04:51:11,доступ,67.0,critical,in_progress
SUP1200091,A011,2025-12-03 22:53:40,оборудование,11.3,medium,resolved
SUP1200092,A014,2025-02-19 12:52:25,интеграция,47.2,medium,resolved
SUP1200093,A007,2025-09-14 21:37:26,ошибка системы,27.7,high,resolved
SUP1200094,A019,2025-01-06 00:12:39,другое,29.2,medium,escalated
SUP1200095,A015,2025-01-17 16:23:14,доступ,36.4,high,resolved
SUP1200096,A006,2025-12-05 11:36:49,оборудование,17.2,low,resolved
SUP1200097,A020,2025-11-08 15:39:47,другое,33.5,medium,new
SUP1200098,A022,2025-04-13 12:12:35,интеграция,49.6,critical,resolved
SUP1200099,A007,2025-05-31 18:39:27,интеграция,33.2,low,resolved
SUP1200100,A024,2025-03-08 00:58:22,оборудование,3.5,low,in_progress
SUP1200101,A014,2025-02-11 19:34:29,доступ,18.9,medium,in_progress
SUP1200102,A022,2025-12-05 04:46:17,интеграция,25.6,high,resolved
SUP1200103,A004,2025-02-27 00:35:17,интеграция,25.9,low,in_progress
SUP1200104,A009,2025-06-05 22:10:42,интеграция,6.3,high,resolved
SUP1200105,A007,2025-11-26 14:02:16,оборудование,32.6,medium,resolved
SUP1200106,A025,2025-02-11 05:07:54,другое,50.0,critical,in_progress
SUP1200107,A015,2025-03-18 10:13:24,ошибка системы,4.0,medium,new
SUP1200108,A003,2025-02-03 09:54:06,оборудование,54.2,medium,escalated
SUP1200109,A005,2025-08-04 13:10:37,доступ,68.8,high,in_progress
SUP1200110,A017,2025-11-12 19:45:05,оборудование,1.2,low,new
SUP1200111,A027,2025-04-01 06:28:02,оборудование,14.3,critical,in_progress
SUP1200112,A028,2025-07-10 21:43:03,ошибка системы,39.4,low,escalated
SUP1200113,A024,2025-11-10 05:03:58,ошибка системы,16.1,low,resolved
SUP1200114,A001,2025-06-29 04:50:20,ошибка системы,55.2,medium,resolved
SUP1200115,A001,2025-09-28 05:48:34,другое,22.8,low,in_progress
SUP1200116,A030,2025-05-30 13:20:04,оборудование,21.5,high,resolved
SUP1200117,A016,2025-05-17 11:08:30,доступ,0.6,high,new
SUP1200118,A023,2025-01-09 06:39:31,ошибка системы,19.8,low,resolved
SUP1200119,A014,2025-05-07 11:46:43,ошибка системы,16.1,low,new
SUP1200120,A011,2025-10-30 07:26:41,оборудование,25.0,medium,resolved
SUP1200121,A014,2025-02-13 04:55:19,доступ,11.1,high,resolved
SUP1200122,A008,2025-03-15 14:49:54,ошибка системы,43.0,high,new
SUP1200123,A019,2025-04-08 08:34:27,оборудование,17.6,low,escalated
SUP1200124,A002,2025-03-04 16:23:49,интеграция,60.0,critical,in_progress
SUP1200125,A023,2025-01-05 19:35:04,другое,20.8,low,new
SUP1200126,A010,2025-01-08 21:55:58,оборудование,15.6,low,resolved
SUP1200127,A005,2025-03-23 21:38:05,ошибка системы,4.6,low,in_progress
SUP1200128,A015,2025-12-26 15:54:19,доступ,53.4,low,new
SUP1200129,A001,2025-04-15 03:53:39,интеграция,36.8,medium,resolved
SUP1200130,A002,2025-02-22 13:08:18,доступ,8.6,medium,in_progress
SUP1200131,A019,2025-01-01 21:25:56,доступ,16.3,high,escalated
SUP1200132,A022,2025-04-27 02:56:24,доступ,71.9,medium,new
SUP1200133,A030,2025-06-02 01:00:32,оборудование,58.1,low,new
SUP1200134,A017,2025-09-15 20:23:22,оборудование,25.5,medium,resolved
