ticket_id,agent_id,created_at,ticket_category,resolution_hours,priority,status
SUP1200131,A019,2025-01-01 21:25:56,доступ,16.3,high,escalated
SUP1200138,A021,2025-01-02 06:59:18,ошибка системы,56.2,low,new
SUP1200203,A008,2025-01-02 17:37:30,другое,19.6,low,resolved
SUP1200070,A030,2025-01-04 00:38:16,оборудование,25.8,low,resolved
SUP1200014,A022,2025-01-04 11:51:53,доступ,38.1,high,in_progress
SUP1200125,A023,2025-01-05 19:35:04,другое,20.8,low,new
SUP1200094,A019,2025-01-06 00:12:39,другое,29.2,medium,escalated
SUP1200404,A009,2025-01-06 19:13:33,ошибка системы,7.8,medium,resolved
SUP1200194,A029,2025-01-07 07:23:17,ошибка системы,30.4,low,resolved
SUP1200306,A025,2025-01-07 23:00:30,оборудование,50.6,low,resolved
SUP1200469,A016,2025-01-08 11:47:33,другое,24.5,low,resolved
SUP1200288,A025,2025-01-08 14:46:34,интеграция,18.7,low,new
SUP1200262,A007,2025-01-08 20:28:53,доступ,38.6,high,resolved
SUP1200126,A010,2025-01-08 21:55:58,оборудование,15.6,low,resolved
SUP1200118,A023,2025-01-09 06:39:31,ошибка системы,19.8,low,resolved
SUP1200024,A017,2025-01-10 10:54:21,ошибка системы,11.7,high,resolved
SUP1200137,A018,2025-01-11 06:47:34,доступ,3.1,medium,in_progress
SUP1200144,A008,2025-01-15 09:46:27,интеграция,19.0,critical,in_progress
SUP1200175,A029,2025-01-16 14:39:02,ошибка системы,68.7,high,in_progress
SUP1200088,A003,2025-01-17 14:17:20,доступ,41.6,low,resolved
SUP1200095,A015,2025-01-17 16:23:14,доступ,36.4,high,resolved
SUP1200003,A002,2025-01-18 09:00:41,оборудование,15.0,medium,escalated
SUP1200310,A009,2025-01-18 20:58:27,доступ,49.2,low,resolved
SUP1200263,A015,2025-01-18 21:30:15,оборудование,71.0,medium,resolved
SUP1200027,A004,2025-01-19 05:25:03,ошибка системы,27.8,medium,resolved
SUP1200007,A014,2025-01-19 17:23:28,ошибка системы,36.9,low,in_progress
SUP1200459,A021,2025-01-20 18:45:57,ошибка системы,54.6,medium,in_progress
SUP1200157,A014,2025-01-21 01:48:52,другое,29.9,medium,resolved
SUP1200304,A002,2025-01-21 16:04:08,интеграция,11.0,critical,resolved
SUP1200307,A027,2025-01-21 19:20:39,ошибка системы,14.6,medium,resolved
SUP1200158,A006,2025-01-24 09:08:04,другое,38.8,critical,resolved
SUP1200313,A016,2025-01-25 00:40:20,интеграция,56.8,critical,new
SUP1200337,A006,2025-01-25 05:02:11,интеграция,23.4,medium,resolved
SUP1200062,A022,2025-01-25 08:48:40,интеграция,13.4,high,resolved
SUP1200078,A008,2025-01-27 14:10:39,ошибка системы,13.9,low,in_progress
SUP1200329,A029,2025-01-29 13:43:55,доступ,46.1,low,resolved
SUP1200433,A015,2025-01-30 03:09:29,интеграция,27.0,low,resolved
SUP1200026,A023,2025-01-30 14:07:43,другое,9.0,low,resolved
SUP1200320,A021,2025-01-31 07:27:58,ошибка системы,43.3,low,resolved
SUP1200463,A008,2025-02-02 19:16:15,доступ,55.1,low,in_progress
SUP1200108,A003,2025-02-03 09:54:06,оборудование,54.2,medium,escalated
SUP1200053,A026,2025-02-06 13:25:08,интеграция,7.0,medium,resolved
SUP1200292,A001,2025-02-06 14:47:01,доступ,8.4,medium,new
SUP1200333,A018,2025-02-08 05:35:33,интеграция,36.9,low,resolved
SUP1200075,A030,2025-02-10 09:49:06,другое,18.2,low,resolved
SUP1200106,A025,2025-02-11 05:07:54,другое,50.0,critical,in_progress
SUP1200465,A027,2025-02-11 09:55:38,доступ,7.5,low,in_progress
SUP1200210,A005,2025-02-11 17:14:43,интеграция,50.2,high,resolved
SUP1200101,A014,2025-02-11 19:34:29,доступ,18.9,medium,in_progress
SUP1200435,A019,2025-02-12 13:18:24,ошибка системы,43.2,medium,in_progress
SUP1200121,A014,2025-02-13 04:55:19,доступ,11.1,high,resolved
SUP1200348,A030,2025-02-13 11:21:46,оборудование,16.9,low,resolved
SUP1200400,A020,2025-02-13 15:51:51,доступ,67.0,low,in_progress
SUP1200071,A006,2025-02-13 16:44:15,доступ,17.9,medium,in_progress
SUP1200243,A015,2025-02-14 03:34:30,интеграция,60.8,high,resolved
SUP1200345,A017,2025-02-14 07:16:50,ошибка системы,22.1,low,in_progress
SUP1200331,A030,2025-02-14 18:09:52,ошибка системы,10.4,low,resolved
SUP1200277,A013,2025-02-15 01:17:15,доступ,52.5,low,in_progress
SUP1200387,A006,2025-02-16 10:45:55,ошибка системы,12.1,low,in_progress
SUP1200222,A005,2025-02-17 00:26:47,оборудование,46.2,high,resolved
SUP1200214,A006,2025-02-17 17:01:37,ошибка системы,69.5,high,resolved
SUP1200406,A010,2025-02-19 06:22:47,доступ,43.7,low,resolved
SUP1200365,A025,2025-02-19 09:27:52,оборудование,49.8,high,in_progress
SUP1200092,A014,2025-02-19 12:52:25,интеграция,47.2,medium,resolved
SUP1200362,A027,2025-02-20 22:24:40,другое,62.3,low,resolved
SUP1200379,A030,2025-02-22 13:00:48,интеграция,22.9,low,new
SUP1200130,A002,2025-02-22 13:08:18,доступ,8.6,medium,in_progress
