event_date,ticket_category,event_count,value_sum,value_mean
2025-01-01,доступ,1,16.3,16.3
2025-01-02,другое,1,19.6,19.6
2025-01-02,ошибка системы,1,56.2,56.2
2025-01-04,доступ,1,38.1,38.1
2025-01-04,оборудование,1,25.8,25.8
2025-01-05,другое,1,20.8,20.8
2025-01-06,другое,1,29.2,29.2
2025-01-06,ошибка системы,1,7.8,7.8
2025-01-07,оборудование,1,50.6,50.6
2025-01-07,ошибка системы,1,30.4,30.4
2025-01-08,доступ,1,38.6,38.6
2025-01-08,другое,1,24.5,24.5
2025-01-08,интеграция,1,18.7,18.7
2025-01-08,оборудование,1,15.6,15.6
2025-01-09,ошибка системы,1,19.8,19.8
2025-01-10,ошибка системы,1,11.7,11.7
2025-01-11,доступ,1,3.1,3.1
2025-01-15,интеграция,1,19.0,19.0
2025-01-16,ошибка системы,1,68.7,68.7
2025-01-17,доступ,2,78.0,39.0
2025-01-18,доступ,1,49.2,49.2
2025-01-18,оборудование,2,86.0,43.0
2025-01-19,ошибка системы,2,64.7,32.35
2025-01-20,ошибка системы,1,54.6,54.6
2025-01-21,другое,1,29.9,29.9
2025-01-21,интеграция,1,11.0,11.0
2025-01-21,ошибка системы,1,14.6,14.6
2025-01-24,другое,1,38.8,38.8
2025-01-25,интеграция,3,93.6,31.2
2025-01-27,ошибка системы,1,13.9,13.9
2025-01-29,доступ,1,46.1,46.1
2025-01-30,другое,1,9.0,9.0
2025-01-30,интеграция,1,27.0,27.0
2025-01-31,ошибка системы,1,43.3,43.3
2025-02-02,доступ,1,55.1,55.1
2025-02-03,оборудование,1,54.2,54.2
2025-02-06,доступ,1,8.4,8.4
2025-02-06,интеграция,1,7.0,7.0
2025-02-08,интеграция,1,36.9,36.9
2025-02-10,другое,1,18.2,18.2
2025-02-11,доступ,2,26.4,13.2
2025-02-11,другое,1,50.0,50.0
2025-02-11,интеграция,1,50.2,50.2
2025-02-12,ошибка системы,1,43.2,43.2
2025-02-13,доступ,3,96.0,32.0
2025-02-13,оборудование,1,16.9,16.9
2025-02-14,интеграция,1,60.8,60.8
2025-02-14,ошибка системы,2,32.5,16.25
2025-02-15,доступ,1,52.5,52.5
2025-02-16,ошибка системы,1,12.1,12.1
2025-02-17,оборудование,1,46.2,46.2
2025-02-17,ошибка системы,1,69.5,69.5
2025-02-19,доступ,1,43.7,43.7
2025-02-19,интеграция,1,47.2,47.2
2025-02-19,оборудование,1,49.8,49.8
2025-02-20,другое,1,62.3,62.3
2025-02-22,доступ,1,8.6,8.6
2025-02-22,интеграция,1,22.9,22.9
2025-02-23,ошибка системы,1,7.9,7.9
2025-02-26,другое,2,103.60000000000001,51.800000000000004
2025-02-27,интеграция,1,25.9,25.9
2025-02-28,ошибка системы,1,25.5,25.5
2025-03-01,доступ,1,11.4,11.4
2025-03-01,другое,1,29.1,29.1
2025-03-04,интеграция,3,101.6,33.86666666666667
2025-03-04,ошибка системы,1,40.0,40.0
2025-03-05,интеграция,1,33.9,33.9
2025-03-06,другое,1,46.2,46.2
2025-03-07,оборудование,1,45.4,45.4
2025-03-07,ошибка системы,1,21.9,21.9
2025-03-08,оборудование,2,65.8,32.9
2025-03-08,ошибка системы,1,59.5,59.5
2025-03-09,интеграция,1,19.6,19.6
2025-03-10,доступ,1,0.8,0.8
2025-03-11,интеграция,1,13.1,13.1
2025-03-11,ошибка системы,1,60.0,60.0
2025-03-13,ошибка системы,1,24.2,24.2
2025-03-14,оборудование,1,60.2,60.2
2025-03-15,доступ,1,7.9,7.9
2025-03-15,ошибка системы,1,43.0,43.0
2025-03-18,интеграция,1,59.0,59.0
2025-03-18,ошибка системы,1,4.0,4.0
2025-03-19,другое,1,55.6,55.6
2025-03-19,оборудование,1,18.7,18.7
2025-03-20,доступ,1,51.7,51.7
2025-03-20,интеграция,1,49.5,49.5
2025-03-20,оборудование,1,38.7,38.7
2025-03-21,доступ,1,9.7,9.7
2025-03-23,оборудование,1,50.1,50.1
2025-03-23,ошибка системы,2,8.5,4.25
2025-03-24,ошибка системы,1,46.0,46.0
2025-03-25,ошибка системы,2,98.80000000000001,49.400000000000006
2025-03-26,ошибка системы,2,108.7,54.35
2025-03-27,интеграция,1,20.8,20.8
2025-03-30,интеграция,1,9.5,9.5
2025-03-31,доступ,2,72.6,36.3
2025-03-31,оборудование,1,5.4,5.4
2025-03-31,ошибка системы,1,52.7,52.7
2025-04-01,оборудование,1,14.3,14.3
2025-04-02,интеграция,1,46.3,46.3
2025-04-04,ошибка системы,1,38.4,38.4
2025-04-06,доступ,1,49.6,49.6
2025-04-07,оборудование,1,13.7,13.7
2025-04-08,доступ,1,55.9,55.9
2025-04-08,другое,1,14.0,14.0
2025-04-08,оборудование,2,30.6,15.3
2025-04-08,ошибка системы,1,47.2,47.2
2025-04-09,другое,2,101.9,50.95
2025-04-09,ошибка системы,1,1.5,1.5
2025-04-10,другое,1,68.3,68.3
2025-04-12,ошибка системы,1,57.1,57.1
2025-04-13,интеграция,2,56.300000000000004,28.150000000000002
2025-04-14,другое,1,50.7,50.7
2025-04-14,интеграция,1,54.3,54.3
2025-04-15,интеграция,1,36.8,36.8
2025-04-15,ошибка системы,2,64.0,32.0
2025-04-18,интеграция,1,20.2,20.2
2025-04-21,интеграция,3,125.60000000000001,41.86666666666667
2025-04-23,интеграция,1,64.0,64.0
2025-04-24,другое,2,100.30000000000001,50.150000000000006
2025-04-26,доступ,1,4.8,4.8
2025-04-26,интеграция,1,23.9,23.9
2025-04-26,ошибка системы,1,27.2,27.2
2025-04-27,доступ,1,71.9,71.9
2025-04-27,интеграция,1,46.3,46.3
2025-04-28,другое,1,12.1,12.1
2025-04-28,интеграция,2,34.0,17.0
2025-04-30,оборудование,1,6.1,6.1
2025-05-01,оборудование,1,3.0,3.0
2025-05-02,другое,1,61.9,61.9
2025-05-04,оборудование,1,11.5,11.5
2025-05-06,ошибка системы,1,9.3,9.3
2025-05-07,доступ,1,40.2,40.2
2025-05-07,ошибка системы,2,42.1,21.05
2025-05-08,оборудование,1,68.8,68.8
2025-05-09,интеграция,1,68.4,68.4
2025-05-11,другое,1,23.0,23.0
2025-05-13,доступ,1,12.2,12.2
2025-05-16,интеграция,1,71.7,71.7
2025-05-16,ошибка системы,1,32.4,32.4
2025-05-17,доступ,1,0.6,0.6
2025-05-18,оборудование,1,68.2,68.2
2025-05-19,ошибка системы,1,36.0,36.0
2025-05-20,оборудование,1,64.6,64.6
2025-05-21,оборудование,1,5.2,5.2
2025-05-22,ошибка системы,1,48.6,48.6
2025-05-23,интеграция,1,39.6,39.6
2025-05-24,интеграция,1,62.3,62.3
2025-05-24,ошибка системы,1,33.2,33.2
2025-05-25,оборудование,1,32.5,32.5
2025-05-29,другое,1,22.8,22.8
2025-05-29,оборудование,1,42.6,42.6
2025-05-30,доступ,1,63.6,63.6
2025-05-30,оборудование,2,57.4,28.7
2025-05-30,ошибка системы,1,17.9,17.9
2025-05-31,доступ,1,2.9,2.9
2025-05-31,другое,1,67.0,67.0
2025-05-31,интеграция,1,33.2,33.2
2025-06-02,доступ,1,31.7,31.7
2025-06-02,другое,1,34.8,34.8
2025-06-02,оборудование,1,58.1,58.1
2025-06-03,ошибка системы,1,35.8,35.8
2025-06-04,интеграция,1,60.9,60.9
2025-06-05,интеграция,1,6.3,6.3
2025-06-07,ошибка системы,1,59.7,59.7
2025-06-09,другое,1,9.9,9.9
2025-06-10,оборудование,1,4.0,4.0
2025-06-11,интеграция,2,90.80000000000001,45.400000000000006
2025-06-14,оборудование,1,70.2,70.2
2025-06-15,интеграция,2,88.5,44.25
2025-06-19,интеграция,1,41.3,41.3
2025-06-21,доступ,1,25.0,25.0
2025-06-22,другое,1,60.3,60.3
2025-06-23,интеграция,1,43.2,43.2
2025-06-23,ошибка системы,1,38.2,38.2
2025-06-24,интеграция,1,39.8,39.8
2025-06-25,интеграция,1,16.1,16.1
2025-06-25,ошибка системы,1,3.5,3.5
2025-06-26,доступ,1,12.0,12.0
2025-06-26,другое,1,19.0,19.0
2025-06-26,интеграция,1,11.4,11.4
2025-06-27,доступ,1,58.1,58.1
2025-06-27,оборудование,1,36.0,36.0
2025-06-29,интеграция,1,61.2,61.2
2025-06-29,ошибка системы,1,55.2,55.2
2025-06-30,доступ,1,21.9,21.9
2025-06-30,ошибка системы,1,13.9,13.9
2025-07-02,другое,1,64.8,64.8
2025-07-03,интеграция,1,52.1,52.1
2025-07-04,интеграция,1,60.3,60.3
2025-07-05,доступ,1,64.3,64.3
2025-07-05,оборудование,2,44.7,22.35
2025-07-06,доступ,2,76.6,38.3
2025-07-06,другое,1,24.4,24.4
2025-07-06,ошибка системы,1,53.3,53.3
2025-07-08,доступ,1,54.6,54.6
2025-07-09,интеграция,1,71.2,71.2
2025-07-09,ошибка системы,1,57.0,57.0
2025-07-10,оборудование,2,54.3,27.15
2025-07-10,ошибка системы,2,54.3,27.15
2025-07-11,интеграция,2,45.9,22.95
2025-07-12,интеграция,1,8.0,8.0
2025-07-15,ошибка системы,1,8.8,8.8
2025-07-17,доступ,1,37.2,37.2
2025-07-17,другое,1,26.6,26.6
2025-07-17,интеграция,1,71.1,71.1
2025-07-17,оборудование,1,48.9,48.9
2025-07-18,доступ,1,67.0,67.0
2025-07-18,другое,1,35.8,35.8
2025-07-19,доступ,1,61.0,61.0
2025-07-19,другое,1,62.6,62.6
2025-07-19,ошибка системы,2,45.099999999999994,22.549999999999997
2025-07-21,оборудование,2,41.9,20.95
2025-07-22,интеграция,1,32.0,32.0
2025-07-22,оборудование,1,18.3,18.3
2025-07-23,оборудование,1,44.1,44.1
2025-07-24,доступ,1,64.7,64.7
2025-07-24,другое,1,39.8,39.8
2025-07-24,ошибка системы,1,46.0,46.0
2025-07-25,ошибка системы,1,46.3,46.3
2025-07-26,доступ,2,81.2,40.6
2025-07-26,ошибка системы,2,46.4,23.2
2025-07-27,ошибка системы,1,4.2,4.2
2025-07-29,оборудование,1,28.9,28.9
2025-07-29,ошибка системы,1,60.8,60.8
2025-07-30,доступ,2,82.9,41.45
2025-07-31,оборудование,3,95.69999999999999,31.899999999999995
2025-08-01,другое,1,71.4,71.4
2025-08-02,другое,1,39.9,39.9
2025-08-02,ошибка системы,1,14.8,14.8
2025-08-03,доступ,1,47.5,47.5
2025-08-03,оборудование,1,61.2,61.2
2025-08-04,доступ,1,68.8,68.8
2025-08-06,интеграция,1,27.0,27.0
2025-08-08,ошибка системы,1,55.5,55.5
2025-08-10,другое,1,47.2,47.2
2025-08-10,ошибка системы,1,29.9,29.9
2025-08-11,оборудование,2,72.69999999999999,36.349999999999994
2025-08-12,доступ,2,73.6,36.8
2025-08-13,оборудование,1,11.9,11.9
2025-08-13,ошибка системы,1,58.5,58.5
2025-08-14,интеграция,1,63.4,63.4
2025-08-15,интеграция,1,30.9,30.9
2025-08-15,оборудование,1,23.3,23.3
2025-08-17,доступ,1,52.3,52.3
2025-08-17,другое,1,10.6,10.6
2025-08-18,доступ,1,60.0,60.0
2025-08-19,доступ,1,37.6,37.6
2025-08-20,другое,2,78.6,39.3
2025-08-21,оборудование,1,52.9,52.9
2025-08-22,оборудование,1,52.3,52.3
2025-08-22,ошибка системы,1,5.3,5.3
2025-08-23,интеграция,1,56.2,56.2
2025-08-24,доступ,1,44.8,44.8
2025-08-24,интеграция,1,44.6,44.6
2025-08-25,другое,1,31.6,31.6
2025-08-25,ошибка системы,1,46.9,46.9
2025-08-26,другое,1,26.0,26.0
2025-08-26,оборудование,1,56.7,56.7
2025-08-27,интеграция,1,12.5,12.5
2025-08-28,интеграция,1,61.8,61.8
2025-08-31,интеграция,1,27.2,27.2
2025-09-01,интеграция,1,27.0,27.0
2025-09-01,оборудование,1,52.3,52.3
2025-09-01,ошибка системы,1,31.8,31.8
2025-09-02,ошибка системы,1,46.9,46.9
2025-09-04,другое,1,51.2,51.2
2025-09-05,интеграция,1,59.3,59.3
2025-09-05,оборудование,1,56.7,56.7
2025-09-06,интеграция,1,10.5,10.5
2025-09-06,оборудование,1,29.4,29.4
2025-09-06,ошибка системы,1,5.7,5.7
2025-09-07,ошибка системы,1,52.3,52.3
2025-09-08,интеграция,1,53.7,53.7
2025-09-08,ошибка системы,1,27.1,27.1
2025-09-09,доступ,1,28.1,28.1
2025-09-09,интеграция,1,29.7,29.7
2025-09-10,интеграция,1,32.7,32.7
2025-09-12,доступ,1,51.8,51.8
2025-09-12,оборудование,1,70.3,70.3
2025-09-13,другое,1,3.5,3.5
2025-09-14,интеграция,1,5.7,5.7
2025-09-14,ошибка системы,1,27.7,27.7
2025-09-15,оборудование,1,25.5,25.5
2025-09-16,другое,1,69.5,69.5
2025-09-17,другое,1,37.8,37.8
2025-09-17,оборудование,1,9.7,9.7
2025-09-18,оборудование,1,60.1,60.1
2025-09-19,оборудование,1,12.0,12.0
2025-09-21,оборудование,1,4.5,4.5
2025-09-22,другое,1,50.8,50.8
2025-09-24,другое,1,27.1,27.1
2025-09-25,интеграция,1,30.2,30.2
2025-09-26,оборудование,2,80.5,40.25
2025-09-28,другое,1,22.8,22.8
2025-09-29,доступ,1,67.2,67.2
2025-09-29,оборудование,1,51.3,51.3
2025-09-29,ошибка системы,1,9.1,9.1
2025-09-30,доступ,1,14.7,14.7
2025-09-30,другое,1,27.7,27.7
2025-09-30,интеграция,1,13.5,13.5
2025-09-30,оборудование,1,7.9,7.9
2025-09-30,ошибка системы,1,57.5,57.5
2025-10-01,доступ,1,24.5,24.5
2025-10-03,оборудование,2,46.6,23.3
2025-10-05,доступ,1,58.7,58.7
2025-10-06,другое,1,19.1,19.1
2025-10-06,ошибка системы,1,34.3,34.3
2025-10-08,другое,1,50.3,50.3
2025-10-08,интеграция,1,8.9,8.9
2025-10-09,доступ,1,41.2,41.2
2025-10-09,оборудование,2,79.9,39.95
2025-10-10,доступ,1,41.6,41.6
2025-10-11,ошибка системы,1,40.6,40.6
2025-10-13,доступ,1,44.2,44.2
2025-10-14,оборудование,1,25.7,25.7
2025-10-14,ошибка системы,1,49.8,49.8
2025-10-15,интеграция,1,37.6,37.6
2025-10-15,ошибка системы,1,7.5,7.5
2025-10-18,доступ,1,36.0,36.0
2025-10-19,доступ,1,28.1,28.1
2025-10-19,ошибка системы,2,64.30000000000001,32.150000000000006
2025-10-20,другое,3,115.8,38.6
2025-10-20,ошибка системы,2,98.8,49.4
2025-10-21,другое,1,26.2,26.2
2025-10-22,другое,1,58.8,58.8
2025-10-22,интеграция,1,26.6,26.6
2025-10-22,оборудование,1,10.2,10.2
2025-10-23,доступ,1,54.5,54.5
2025-10-24,другое,1,49.0,49.0
2025-10-24,ошибка системы,2,126.6,63.3
2025-10-27,доступ,1,50.1,50.1
2025-10-27,другое,1,31.9,31.9
2025-10-27,ошибка системы,1,57.6,57.6
2025-10-28,ошибка системы,1,62.6,62.6
2025-10-29,доступ,1,43.9,43.9
2025-10-30,оборудование,1,25.0,25.0
2025-10-30,ошибка системы,2,110.7,55.35
2025-10-31,доступ,1,15.4,15.4
2025-10-31,оборудование,1,25.2,25.2
