event_id,timestamp,region,category,item_id,quantity,price,discount,revenue,is_promo
1,2024-01-01 00:00:00,North,E,5818,7,52.24,0.0,365.68,0
2,2024-01-01 00:01:00,Center,C,8016,4,32.29,0.1,116.24,1
3,2024-01-01 00:02:00,Center,E,7883,5,10.47,0.1,47.12,1
4,2024-01-01 00:03:00,East,E,6405,5,30.7,0.0,153.5,0
5,2024-01-01 00:04:00,North,F,8090,7,43.31,0.0,303.17,0
6,2024-01-01 00:05:00,West,E,1421,7,15.24,0.05,101.35,1
7,2024-01-01 00:06:00,West,F,4032,6,30.66,0.03,178.44,1
8,2024-01-01 00:07:00,West,C,6992,7,33.22,0.0,232.54,0
9,2024-01-01 00:08:00,East,E,1157,4,26.66,0.05,101.31,1
10,2024-01-01 00:09:00,East,B,6981,3,12.87,0.03,37.45,1
11,2024-01-01 00:10:00,East,B,4608,2,21.22,0.0,42.44,0
12,2024-01-01 00:11:00,West,F,7662,3,21.35,0.0,64.05,0
13,2024-01-01 00:12:00,North,A,8386,5,14.63,0.0,73.15,0
14,2024-01-01 00:13:00,South,D,5476,6,10.18,0.03,59.25,1
15,2024-01-01 00:14:00,East,E,1872,6,9.3,0.0,55.8,0
16,2024-01-01 00:15:00,West,E,1001,4,10.56,0.0,42.24,0
17,2024-01-01 00:16:00,East,A,3534,7,26.89,0.05,178.82,1
18,2024-01-01 00:17:00,East,D,9725,4,19.18,0.05,72.88,1
19,2024-01-01 00:18:00,North,D,4867,5,18.29,0.1,82.3,1
20,2024-01-01 00:19:00,South,C,1694,1,10.28,0.05,9.77,1
21,2024-01-01 00:20:00,East,E,8377,7,21.38,0.05,142.18,1
22,2024-01-01 00:21:00,West,C,8874,2,15.82,0.03,30.69,1
23,2024-01-01 00:22:00,West,F,2343,1,13.61,0.03,13.2,1
24,2024-01-01 00:23:00,East,C,7833,4,29.88,0.0,119.52,0
25,2024-01-01 00:24:00,South,C,2599,7,26.96,0.0,188.72,0
26,2024-01-01 00:25:00,North,D,6815,1,46.18,0.15,39.25,1
27,2024-01-01 00:26:00,North,A,5917,7,13.12,0.0,91.84,0
28,2024-01-01 00:27:00,Center,F,9332,6,25.08,0.03,145.97,1
29,2024-01-01 00:28:00,East,E,4008,4,20.45,0.05,77.71,1
30,2024-01-01 00:29:00,East,B,7410,5,17.36,0.1,78.12,1
31,2024-01-01 00:30:00,Center,E,5739,2,16.14,0.1,29.05,1
32,2024-01-01 00:31:00,South,D,4438,2,42.13,0.0,84.26,0
33,2024-01-01 00:32:00,South,E,8166,5,18.68,0.15,79.39,1
34,2024-01-01 00:33:00,Center,B,7700,1,27.87,0.03,27.03,1
35,2024-01-01 00:34:00,Center,A,9896,2,11.96,0.05,22.72,1
36,2024-01-01 00:35:00,West,E,4242,7,40.35,0.1,254.2,1
37,2024-01-01 00:36:00,South,F,1081,6,15.18,0.05,86.53,1
38,2024-01-01 00:37:00,South,C,8103,6,7.88,0.0,47.28,0
39,2024-01-01 00:38:00,East,E,9933,6,19.64,0.0,117.84,0
40,2024-01-01 00:39:00,West,B,1464,3,18.96,0.03,55.17,1
41,2024-01-01 00:40:00,East,D,8632,1,15.67,0.0,15.67,0
42,2024-01-01 00:41:00,South,F,7657,4,13.41,0.1,48.28,1
43,2024-01-01 00:42:00,Center,E,6032,6,14.45,0.0,86.7,0
44,2024-01-01 00:43:00,South,A,6442,5,11.17,0.0,55.85,0
45,2024-01-01 00:44:00,Center,A,9937,2,23.05,0.03,44.72,1
46,2024-01-01 00:45:00,West,B,6227,2,35.76,0.0,71.52,0
47,2024-01-01 00:46:00,West,E,3467,3,11.39,0.05,32.46,1
48,2024-01-01 00:47:00,South,D,6188,6,45.98,0.0,275.88,0
49,2024-01-01 00:48:00,East,F,8695,3,17.29,0.0,51.87,0
50,2024-01-01 00:49:00,Center,F,9567,3,28.69,0.03,83.49,1
51,2024-01-01 00:50:00,North,F,7507,1,23.05,0.0,23.05,0
52,2024-01-01 00:51:00,East,F,9399,4,16.14,0.03,62.62,1
53,2024-01-01 00:52:00,West,D,7482,5,12.59,0.0,62.95,0
54,2024-01-01 00:53:00,East,F,9763,5,14.55,0.0,72.75,0
55,2024-01-01 00:54:00,East,B,7779,1,15.93,0.05,15.13,1
56,2024-01-01 00:55:00,East,C,1351,7,19.92,0.0,139.44,0
57,2024-01-01 00:56:00,South,A,3603,5,33.37,0.0,166.85,0
58,2024-01-01 00:57:00,West,A,9010,6,13.15,0.1,71.01,1
59,2024-01-01 00:58:00,West,F,5187,5,34.7,0.03,168.3,1
60,2024-01-01 00:59:00,North,D,5650,3,13.78,0.0,41.34,0
61,2024-01-01 01:00:00,East,F,6017,4,22.43,0.05,85.23,1
62,2024-01-01 01:01:00,East,D,4524,4,36.14,0.15,122.88,1
63,2024-01-01 01:02:00,North,D,3594,3,10.42,0.0,31.26,0
64,2024-01-01 01:03:00,North,F,9986,3,10.95,0.0,32.85,0
65,2024-01-01 01:04:00,Center,F,5411,1,21.76,0.0,21.76,0
66,2024-01-01 01:05:00,Center,E,9975,7,26.11,0.05,173.63,1
67,2024-01-01 01:06:00,West,E,8853,7,19.12,0.1,120.46,1
68,2024-01-01 01:07:00,Center,B,2596,7,14.09,0.1,88.77,1
69,2024-01-01 01:08:00,Center,D,1744,4,20.1,0.03,77.99,1
70,2024-01-01 01:09:00,East,C,5415,4,15.42,0.0,61.68,0
71,2024-01-01 01:10:00,Center,D,6027,2,33.63,0.03,65.24,1
72,2024-01-01 01:11:00,West,E,6357,7,24.21,0.05,161.0,1
73,2024-01-01 01:12:00,South,D,8020,4,21.87,0.1,78.73,1
74,2024-01-01 01:13:00,South,F,4699,4,12.82,0.1,46.15,1
75,2024-01-01 01:14:00,Center,C,3749,5,13.12,0.0,65.6,0
76,2024-01-01 01:15:00,South,E,6579,4,8.91,0.0,35.64,0
77,2024-01-01 01:16:00,North,E,1802,7,33.87,0.0,237.09,0
78,2024-01-01 01:17:00,South,E,7741,2,17.93,0.0,35.86,0
79,2024-01-01 01:18:00,East,C,2520,4,30.93,0.05,117.53,1
80,2024-01-01 01:19:00,South,B,4936,5,17.84,0.0,89.2,0
81,2024-01-01 01:20:00,North,F,9527,4,18.94,0.0,75.76,0
82,2024-01-01 01:21:00,East,A,9331,1,16.3,0.05,15.48,1
83,2024-01-01 01:22:00,East,E,9640,2,33.07,0.03,64.16,1
84,2024-01-01 01:23:00,Center,E,9265,2,23.62,0.0,47.24,0
85,2024-01-01 01:24:00,South,F,1225,7,19.9,0.0,139.3,0
86,2024-01-01 01:25:00,East,B,8094,2,9.38,0.05,17.82,1
87,2024-01-01 01:26:00,South,C,6336,4,9.67,0.15,32.88,1
88,2024-01-01 01:27:00,Center,D,2143,2,9.86,0.05,18.73,1
89,2024-01-01 01:28:00,East,A,6331,1,27.24,0.05,25.88,1
90,2024-01-01 01:29:00,South,B,4087,4,10.27,0.0,41.08,0
91,2024-01-01 01:30:00,Center,C,9471,3,32.63,0.1,88.1,1
92,2024-01-01 01:31:00,West,A,5223,5,24.27,0.05,115.28,1
93,2024-01-01 01:32:00,South,B,1638,5,24.37,0.1,109.66,1
94,2024-01-01 01:33:00,North,B,7767,3,24.31,0.1,65.64,1
95,2024-01-01 01:34:00,East,D,1289,3,29.13,0.05,83.02,1
96,2024-01-01 01:35:00,South,E,3929,1,9.29,0.03,9.01,1
97,2024-01-01 01:36:00,West,D,2314,2,30.72,0.0,61.44,0
98,2024-01-01 01:37:00,Center,A,6848,6,25.76,0.1,139.1,1
99,2024-01-01 01:38:00,West,E,3546,6,22.02,0.0,132.12,0
100,2024-01-01 01:39:00,East,C,1056,1,34.9,0.1,31.41,1
101,2024-01-01 01:40:00,East,E,6258,2,20.6,0.03,39.96,1
102,2024-01-01 01:41:00,South,B,2878,6,23.95,0.03,139.39,1
103,2024-01-01 01:42:00,Center,A,5149,7,34.15,0.0,239.05,0
104,2024-01-01 01:43:00,North,F,1825,6,22.54,0.0,135.24,0
105,2024-01-01 01:44:00,South,E,6659,7,7.66,0.05,50.94,1
106,2024-01-01 01:45:00,South,D,9564,7,13.28,0.0,92.96,0
107,2024-01-01 01:46:00,East,C,3568,6,33.54,0.0,201.24,0
108,2024-01-01 01:47:00,East,B,3369,1,24.19,0.15,20.56,1
109,2024-01-01 01:48:00,Center,D,7036,7,14.02,0.0,98.14,0
110,2024-01-01 01:49:00,East,F,5525,4,15.51,0.0,62.04,0
111,2024-01-01 01:50:00,South,D,2039,4,11.65,0.0,46.6,0
112,2024-01-01 01:51:00,North,F,9099,5,33.26,0.0,166.3,0
113,2024-01-01 01:52:00,East,D,3499,5,42.17,0.0,210.85,0
114,2024-01-01 01:53:00,South,C,2788,1,10.65,0.0,10.65,0
