record_id,timestamp,device_id,region,temp,pressure,humidity,vibration,status,power_kw,load_score
1,2024-02-01 00:00:00,37923,R4,29.08,102.5,38.16,0.38,ok,6.021,13.567
2,2024-02-01 00:00:30,94916,R4,25.48,102.33,34.28,0.822,ok,5.093,10.154
3,2024-02-01 00:01:00,72691,R4,26.07,98.7,59.8,1.264,ok,5.471,13.102
4,2024-02-01 00:01:30,42347,R3,24.2,98.2,80.26,0.728,warn,3.946,12.644
5,2024-02-01 00:02:00,22137,R4,25.96,101.23,82.35,0.107,ok,4.865,13.565
6,2024-02-01 00:02:30,80631,R2,30.15,104.18,83.98,0.69,ok,4.579,13.745
7,2024-02-01 00:03:00,45869,R1,23.12,102.78,79.24,0.771,ok,5.086,11.874
8,2024-02-01 00:03:30,63214,R2,24.54,104.56,75.29,0.429,ok,5.161,12.542
9,2024-02-01 00:04:00,65758,R2,29.45,98.99,91.1,0.595,warn,6.039,14.805
10,2024-02-01 00:04:30,36489,R4,28.21,101.31,22.36,0.181,ok,5.255,10.436
11,2024-02-01 00:05:00,42900,R2,23.24,100.22,35.34,1.476,ok,6.138,11.127
12,2024-02-01 00:05:30,93044,R3,26.7,101.07,77.95,1.877,ok,3.951,14.484
13,2024-02-01 00:06:00,79804,R1,34.08,98.69,31.31,0.278,ok,6.31,12.851
14,2024-02-01 00:06:30,88238,R2,25.88,101.99,80.68,1.041,ok,6.796,14.548
15,2024-02-01 00:07:00,22123,R2,24.23,102.6,29.53,1.349,warn,3.894,8.321
16,2024-02-01 00:07:30,42772,R4,24.53,97.73,64.21,0.775,ok,3.505,12.53
17,2024-02-01 00:08:00,16636,R2,28.01,101.69,50.96,1.3,ok,7.772,15.134
18,2024-02-01 00:08:30,97584,R4,28.89,99.44,57.58,0.169,ok,4.716,12.592
19,2024-02-01 00:09:00,69730,R4,20.37,98.05,45.31,0.934,ok,6.225,9.189
20,2024-02-01 00:09:30,30206,R4,19.1,99.73,54.66,0.04,ok,4.801,10.613
21,2024-02-01 00:10:00,83297,R4,25.91,100.4,49.98,1.023,ok,4.427,10.601
22,2024-02-01 00:10:30,82493,R3,27.28,101.52,43.29,0.595,ok,4.707,11.014
23,2024-02-01 00:11:00,38878,R3,28.15,100.81,21.43,0.804,ok,5.591,9.429
24,2024-02-01 00:11:30,71279,R4,20.23,101.62,49.35,0.416,ok,5.17,10.548
25,2024-02-01 00:12:00,19098,R1,22.69,103.16,24.56,0.361,warn,4.939,7.958
26,2024-02-01 00:12:30,52394,R2,22.67,98.66,58.43,0.405,fail,4.289,9.258
27,2024-02-01 00:13:00,59902,R2,29.2,100.14,67.59,1.591,ok,3.612,12.168
28,2024-02-01 00:13:30,12772,R4,19.11,104.2,80.86,0.72,ok,4.595,11.676
29,2024-02-01 00:14:00,78415,R1,18.15,99.86,23.24,0.649,ok,3.973,7.964
30,2024-02-01 00:14:30,90530,R2,22.93,101.84,87.64,0.299,ok,7.485,14.767
31,2024-02-01 00:15:00,73536,R1,18.95,102.58,39.32,0.003,ok,5.577,10.976
32,2024-02-01 00:15:30,61626,R3,24.83,102.09,72.85,0.281,ok,4.729,11.9
33,2024-02-01 00:16:00,98121,R1,26.11,100.36,22.37,0.938,ok,4.779,9.751
34,2024-02-01 00:16:30,45127,R2,21.86,102.79,58.68,0.869,ok,5.528,12.898
35,2024-02-01 00:17:00,47329,R3,24.3,100.35,50.75,0.63,ok,4.602,11.411
36,2024-02-01 00:17:30,41920,R3,13.93,102.07,24.81,0.392,ok,5.469,9.696
37,2024-02-01 00:18:00,51112,R3,28.82,101.84,91.98,0.176,warn,5.776,14.314
38,2024-02-01 00:18:30,68676,R4,21.18,101.16,78.28,0.406,ok,4.218,11.722
39,2024-02-01 00:19:00,54445,R4,28.67,101.72,58.82,0.392,ok,6.713,13.847
40,2024-02-01 00:19:30,41232,R3,23.65,99.59,59.17,0.813,ok,5.372,12.885
41,2024-02-01 00:20:00,64662,R4,22.13,100.98,33.79,0.715,ok,5.456,10.598
42,2024-02-01 00:20:30,55681,R4,21.8,100.47,77.35,0.51,ok,5.173,11.907
43,2024-02-01 00:21:00,15360,R3,24.41,97.18,44.85,1.35,ok,3.306,9.445
44,2024-02-01 00:21:30,43383,R1,24.61,100.61,71.43,0.39,ok,4.117,12.39
45,2024-02-01 00:22:00,41421,R2,23.29,103.25,63.96,1.637,ok,6.001,13.254
46,2024-02-01 00:22:30,14968,R4,24.28,99.92,48.33,0.513,ok,5.724,10.953
47,2024-02-01 00:23:00,13021,R2,20.71,101.75,59.6,1.05,ok,4.598,10.816
48,2024-02-01 00:23:30,32536,R2,21.01,99.56,47.1,1.021,ok,4.664,7.605
49,2024-02-01 00:24:00,32277,R3,31.14,104.14,94.95,0.483,warn,4.883,14.042
50,2024-02-01 00:24:30,85685,R4,25.91,99.28,22.21,0.686,ok,5.132,11.009
51,2024-02-01 00:25:00,90447,R3,23.97,99.75,40.37,0.391,ok,5.296,10.286
52,2024-02-01 00:25:30,83633,R4,29.67,101.5,38.08,0.738,warn,6.067,12.002
53,2024-02-01 00:26:00,52508,R2,28.3,101.34,57.93,0.685,ok,4.797,12.957
54,2024-02-01 00:26:30,70058,R3,22.54,102.53,33.84,0.608,ok,6.461,11.418
55,2024-02-01 00:27:00,70271,R3,26.75,102.4,56.48,0.53,warn,4.286,12.111
