event_id,city,campaign,device,source,segment,page,region,session_length_sec,items_viewed,converted
1,city_004,cmp_074,device_02,source_12,segment_48,page_021,region_09,122,14,0
2,city_071,cmp_046,device_17,source_01,segment_24,page_030,region_03,198,5,0
3,city_070,cmp_122,device_01,source_05,segment_24,page_036,region_04,146,4,0
4,city_037,cmp_082,device_18,source_08,segment_40,page_046,region_01,244,5,0
5,city_073,cmp_031,device_03,source_08,segment_66,page_129,region_09,264,8,1
6,city_036,cmp_046,device_03,source_16,segment_43,page_138,region_04,198,3,0
7,city_012,cmp_101,device_07,source_29,segment_28,page_014,region_01,164,9,0
8,city_041,cmp_030,device_12,source_01,segment_64,page_114,region_01,294,5,0
9,city_024,cmp_013,device_08,source_28,segment_68,page_044,region_03,99,12,0
10,city_035,cmp_097,device_18,source_28,segment_42,page_075,region_12,193,4,0
11,city_095,cmp_047,device_10,source_24,segment_64,page_018,region_01,150,8,0
12,city_026,cmp_016,device_09,source_11,segment_66,page_014,region_04,207,14,0
13,city_016,cmp_055,device_08,source_08,segment_32,page_056,region_09,189,6,0
14,city_010,cmp_066,device_07,source_12,segment_15,page_088,region_03,198,12,0
15,city_081,cmp_004,device_10,source_15,segment_43,page_133,region_04,227,10,0
16,city_001,cmp_117,device_19,source_04,segment_08,page_147,region_04,326,4,0
17,city_082,cmp_056,device_19,source_08,segment_16,page_113,region_01,275,11,0
18,city_005,cmp_004,device_03,source_28,segment_20,page_113,region_01,192,6,0
19,city_063,cmp_129,device_07,source_02,segment_57,page_015,region_09,178,6,0
20,city_022,cmp_074,device_09,source_03,segment_24,page_048,region_10,236,6,0
21,city_019,cmp_165,device_12,source_01,segment_34,page_089,region_03,118,5,0
22,city_012,cmp_034,device_06,source_14,segment_59,page_067,region_12,83,2,1
23,city_010,cmp_048,device_20,source_12,segment_06,page_021,region_01,219,10,0
24,city_005,cmp_086,device_07,source_02,segment_40,page_020,region_07,204,4,0
25,city_010,cmp_141,device_06,source_12,segment_40,page_069,region_04,295,10,0
26,city_048,cmp_117,device_14,source_02,segment_30,page_125,region_04,201,11,0
27,city_045,cmp_083,device_09,source_15,segment_64,page_026,region_04,258,6,0
28,city_021,cmp_117,device_18,source_21,segment_30,page_026,region_01,239,9,0
29,city_056,cmp_013,device_03,source_02,segment_08,page_142,region_11,209,7,0
30,city_064,cmp_101,device_01,source_18,segment_39,page_026,region_09,143,11,0
31,city_097,cmp_073,device_18,source_11,segment_22,page_014,region_01,207,6,0
32,city_033,cmp_033,device_07,source_12,segment_69,page_045,region_08,140,5,0
33,city_027,cmp_029,device_04,source_11,segment_54,page_089,region_04,168,6,1
