client_id,age,income_rub,city,education,contract_type,tenure_months,purchases_6m,support_calls_6m,churn
CL44400036,45,137078.0,Новосибирск,Высшее,Месячный,20,9.0,1,0
CL44400401,42,76281.0,Москва,Высшее,Месячный,8,8.0,1,0
CL44400478,47,62384.0,Казань,Среднее,Месячный,26,8.0,1,1
CL44400027,51,,Санкт‑Петербург,Высшее,Годовой,68,9.0,0,0
CL44400130,27,101269.0,Санкт‑Петербург,,Месячный,16,6.0,2,0
CL44400199,56,18694.0,Казань,Среднее специальное,Годовой,1,6.0,2,1
CL44400309,57,83151.0,,Среднее специальное,Годовой,30,10.0,1,0
CL44400243,60,,Казань,,Годовой,64,8.0,2,0
CL44400093,62,66867.0,Санкт‑Петербург,Высшее,Месячный,66,9.0,2,0
CL44400282,25,88918.0,Москва,,Годовой,58,6.0,1,1
CL44400452,50,104092.0,Санкт‑Петербург,Магистратура,Годовой,18,4.0,4,0
CL44400087,52,,,Среднее специальное,Месячный,26,4.0,1,1
CL44400287,53,83857.0,Москва,Среднее специальное,Годовой,21,2.0,1,0
CL44400196,30,85121.0,,Высшее,Двухлетний,56,,1,0
CL44400104,18,62020.0,Москва,Среднее специальное,Месячный,10,14.0,2,0
CL44400184,48,58247.0,Казань,Среднее,Месячный,44,5.0,3,0
CL44400421,53,67112.0,Санкт‑Петербург,Высшее,Месячный,57,7.0,1,0
CL44400189,57,82267.0,Казань,Магистратура,Годовой,63,2.0,1,0
CL44400436,52,111786.0,Москва,Магистратура,Месячный,27,,2,0
CL44400493,22,58614.0,Москва,Высшее,Месячный,3,7.0,1,1
CL44400611,40,128630.0,Новосибирск,Магистратура,Годовой,3,4.0,2,0
CL44400210,53,119481.0,Казань,Высшее,Годовой,43,,3,0
CL44400075,30,294455.0,Симферополь,Высшее,Месячный,51,7.0,0,0
CL44400356,24,34079.0,Новосибирск,Среднее,Годовой,44,4.0,2,0
CL44400379,55,62857.0,Симферополь,Высшее,Месячный,22,1.0,2,0
CL44400402,39,54810.0,Севастополь,Среднее специальное,Годовой,27,2.0,2,0
CL44400453,66,70169.0,Москва,Высшее,Годовой,23,,0,0
CL44400510,60,,Новосибирск,Высшее,Месячный,24,2.0,1,0
CL44400633,50,52565.0,Севастополь,Высшее,Годовой,5,4.0,2,0
CL44400186,42,83760.0,Москва,Среднее специальное,Годовой,48,6.0,0,0
CL44400423,64,120420.0,Севастополь,Высшее,Месячный,22,3.0,0,0
CL44400589,29,87413.0,Санкт‑Петербург,Среднее,Месячный,70,8.0,1,0
CL44400225,58,61356.0,Новосибирск,Среднее специальное,Месячный,71,6.0,3,0
CL44400572,42,103768.0,Санкт‑Петербург,Высшее,Месячный,24,3.0,1,0
CL44400006,49,63890.0,Москва,Магистратура,Годовой,1,8.0,1,0
CL44400412,21,95761.0,Москва,Среднее,Месячный,47,3.0,1,1
CL44400167,62,55702.0,Санкт‑Петербург,Высшее,Месячный,31,,1,0
CL44400627,61,13270.0,Новосибирск,Среднее специальное,Месячный,23,7.0,2,1
CL44400389,44,62596.0,Казань,Среднее,Месячный,59,8.0,1,0
CL44400403,26,66558.0,Санкт‑Петербург,Магистратура,Месячный,46,8.0,1,1
CL44400493,22,58614.0,Москва,Высшее,Месячный,3,7.0,1,1
CL44400221,18,102760.0,Москва,Магистратура,Годовой,40,3.0,1,0
CL44400522,52,81135.0,Новосибирск,,Месячный,43,4.0,1,1
CL44400474,50,53455.0,Москва,Высшее,Месячный,12,3.0,0,0
CL44400427,42,56927.0,Казань,Среднее специальное,Месячный,11,7.0,2,0
CL44400155,24,64613.0,Казань,Среднее специальное,Месячный,22,4.0,1,0
CL44400199,56,18694.0,Казань,Среднее специальное,Годовой,1,6.0,2,1
CL44400581,57,88759.0,Севастополь,Магистратура,Месячный,61,7.0,2,0
CL44400422,47,70333.0,Москва,Высшее,Годовой,67,9.0,2,0
CL44400200,47,68190.0,Новосибирск,Магистратура,Месячный,18,10.0,1,0
CL44400012,50,,Москва,Магистратура,Месячный,42,9.0,2,0
CL44400513,38,50167.0,Санкт‑Петербург,Среднее специальное,Годовой,29,9.0,0,0
CL44400168,36,79652.0,Казань,Среднее,Двухлетний,5,9.0,0,0
CL44400151,49,79263.0,Симферополь,Среднее специальное,Месячный,38,7.0,0,0
CL44400248,28,50558.0,Новосибирск,Высшее,Двухлетний,27,11.0,0,0
CL44400562,31,34750.0,Санкт‑Петербург,Высшее,Месячный,2,4.0,0,1
