area_m2,rooms,floor,distance_center_km,year_built,schools_1km,parks_1km,metro_minutes,renovation_score,noise_db,target
53.7,3,8,8.42,1966,2,3,22.2,6.4,42.6,10.162
73.9,2,2,18.82,1983,1,3,13.0,5.1,48.8,9.843
95.3,4,7,4.68,2020,3,1,16.5,5.3,57.8,12.81
34.1,3,10,7.93,1989,1,0,21.7,6.2,57.3,7.765
83.6,1,13,1.11,2024,1,2,23.8,4.3,52.5,5.805
40.7,5,7,8.88,1981,4,2,22.3,7.0,39.2,17.047
50.5,4,17,7.7,2017,3,3,26.9,5.7,44.3,16.245
47.6,1,11,10.6,1976,3,2,15.7,6.0,41.3,8.333
60.0,1,4,12.16,2015,0,0,16.0,6.2,45.5,6.911
74.2,3,4,11.46,1978,2,2,10.2,6.5,51.8,5.29
57.0,1,10,9.16,1992,2,1,12.9,6.4,51.2,6.163
85.2,2,9,12.0,1991,2,2,24.4,6.0,57.1,16.035
92.8,2,6,6.19,2006,3,2,15.9,4.2,41.3,6.279
69.7,2,1,5.79,1987,2,1,13.4,8.4,53.2,6.91
22.4,2,7,13.18,1983,2,1,17.7,6.1,49.6,8.068
72.2,3,7,15.3,2005,5,4,10.9,7.6,51.1,18.737
67.4,1,9,6.92,2018,1,1,28.6,3.9,46.3,8.282
25.2,3,1,1.96,2001,2,2,23.3,7.5,39.0,8.166
25.3,3,6,11.94,1987,1,2,13.6,5.2,40.3,4.963
79.2,3,3,15.62,1969,2,3,13.0,7.3,59.7,12.721
43.6,2,4,4.52,1955,3,2,15.8,5.1,56.2,1.5
54.2,3,11,14.24,1992,2,2,25.1,6.4,51.4,16.515
85.5,3,3,4.56,2012,1,2,24.2,5.8,53.5,10.877
60.8,4,1,11.26,1996,2,3,18.0,7.0,55.1,15.268
74.0,5,8,7.04,2018,1,3,18.0,9.1,48.2,13.868
71.7,2,7,9.45,2019,2,3,18.5,3.6,65.5,8.561
27.8,5,11,8.82,2004,3,1,13.2,6.1,46.6,11.193
70.2,4,6,13.44,1991,0,0,16.1,5.5,48.5,8.816
34.5,3,11,13.21,2000,1,2,31.0,5.9,43.0,15.916
104.0,2,6,5.21,1978,0,3,14.0,6.9,40.9,1.807
60.5,3,8,13.43,1998,4,2,27.1,8.0,39.5,24.927
61.1,2,2,2.67,1985,0,1,17.5,5.6,51.5,1.5
65.0,4,9,9.28,2003,3,2,17.9,5.3,62.1,13.56
84.0,3,9,6.74,1988,3,0,10.1,6.4,44.8,6.277
78.8,2,8,8.94,1994,0,2,20.8,7.0,51.5,7.186
59.9,3,9,11.11,2018,2,1,18.7,3.0,47.5,11.297
62.6,3,3,12.99,1989,2,1,5.5,6.2,51.8,6.615
71.4,3,5,10.49,1983,0,0,17.7,6.1,63.1,8.378
58.5,1,7,9.72,2010,0,2,18.6,8.3,50.5,6.178
39.6,1,12,2.44,1995,4,1,22.2,4.1,49.1,3.145
52.1,3,5,12.88,1975,1,0,13.7,3.9,58.9,5.691
37.6,3,7,7.73,1989,0,2,26.8,9.7,45.3,13.447
120.0,2,8,10.86,1969,4,2,5.1,7.8,63.7,11.9
28.5,3,8,10.55,1988,1,0,8.2,5.4,52.6,1.5
66.0,3,9,14.07,2003,2,2,20.5,6.8,57.0,17.743
59.1,1,11,8.24,1986,1,4,24.2,7.7,57.5,10.085
53.4,2,11,4.7,1998,4,3,7.6,5.3,52.6,3.429
90.3,3,9,13.24,2001,3,2,19.5,6.7,50.9,19.966
91.6,3,1,12.18,1998,1,4,19.0,5.7,56.5,13.165
44.8,1,6,13.14,2022,1,1,24.7,4.9,48.7,11.856
62.7,4,10,8.85,1975,2,1,27.0,4.6,55.3,13.61
75.5,2,1,9.25,1996,4,1,16.4,4.8,53.4,9.829
68.9,2,3,11.5,2007,2,0,14.8,5.1,58.0,7.127
60.7,5,6,8.38,1963,2,0,14.1,7.0,52.4,9.794
84.7,4,9,7.98,2004,1,2,21.1,4.0,62.6,8.865
53.2,4,4,4.45,1956,2,1,22.2,7.8,48.6,8.075
83.8,2,7,6.35,2021,1,0,10.6,3.7,56.6,1.5
37.5,2,7,12.85,2002,2,2,14.4,2.9,54.8,5.379
88.7,3,3,3.72,2008,1,0,26.7,5.7,48.0,9.539
79.2,2,7,16.86,2023,3,0,13.9,6.8,58.0,18.616
78.5,2,6,6.51,1990,1,3,5.1,7.4,46.4,1.5
76.7,2,6,5.12,1986,2,0,14.8,4.8,49.4,1.5
66.0,1,7,7.97,2013,2,0,21.3,4.6,46.3,6.432
69.6,3,7,8.03,1960,0,3,25.3,5.9,50.6,6.641
45.9,2,8,10.3,1996,3,0,13.3,7.5,52.7,11.565
85.7,2,4,8.73,2019,1,0,19.8,5.1,55.4,8.107
93.8,2,5,7.04,2011,1,3,20.8,6.5,53.1,10.979
28.3,3,1,6.77,1996,1,3,22.7,8.8,51.4,10.078
58.8,4,7,2.11,2003,3,1,17.4,9.8,59.1,12.051
61.8,2,11,4.92,1997,2,2,17.7,6.3,55.3,4.739
45.4,3,4,13.52,2014,3,3,25.1,5.2,47.3,18.916
32.8,4,14,6.93,2003,4,0,23.6,6.8,56.4,16.199
87.6,3,8,9.79,2002,2,1,23.3,4.9,50.1,14.972
84.9,2,9,6.83,1980,2,1,12.9,6.1,55.0,4.324
64.1,2,6,8.97,1973,1,1,15.5,6.1,46.0,4.24
26.0,4,7,7.69,1976,1,2,20.7,5.9,49.6,6.17
43.1,3,8,3.48,1980,2,1,27.8,6.0,52.5,7.581
53.6,4,5,10.32,1996,3,1,9.4,5.6,57.2,9.506
83.0,3,6,9.38,2008,1,2,31.9,7.6,54.4,19.85
48.5,2,6,5.78,2008,2,2,23.5,7.4,48.5,10.328
70.2,2,8,6.66,2008,3,2,14.7,7.1,49.9,8.901
