temp_c,vibration,pressure_kpa,power_kw,flow_lpm
52.8,2.101,223.7,50.2,223.1
53.8,1.9,244.4,41.3,226.3
50.2,2.007,229.2,44.76,222.0
51.2,1.979,204.6,49.67,234.3
48.1,1.617,235.9,53.92,216.0
54.2,1.959,257.7,38.96,198.3
64.9,3.768,203.3,44.43,190.6
55.6,2.5,217.1,53.23,223.2
48.3,1.985,236.3,50.82,207.4
52.4,2.887,244.2,44.05,230.4
45.0,1.018,247.3,47.32,212.3
63.3,3.586,214.2,54.7,227.1
61.4,3.543,211.4,43.2,202.5
49.2,2.193,239.5,48.49,200.8
56.8,2.288,196.1,42.32,221.5
52.3,2.183,184.7,53.96,199.3
60.0,3.121,236.1,55.34,213.8
51.6,3.276,246.7,52.91,193.8
61.0,2.981,180.5,55.93,203.5
56.8,2.042,257.7,39.64,213.0
60.8,3.968,192.6,59.63,197.2
46.3,1.182,218.7,43.6,208.9
54.2,2.791,224.1,58.66,192.3
54.8,2.257,227.0,44.22,205.2
53.5,2.562,223.4,43.76,196.1
54.4,2.063,193.1,46.76,200.4
52.3,2.171,219.3,44.12,222.1
54.7,2.107,218.1,47.3,190.8
53.4,2.739,193.0,39.32,208.8
52.6,1.627,217.2,43.6,191.3
58.6,2.749,220.4,49.59,214.5
59.6,3.132,205.4,45.77,229.2
54.6,2.886,210.2,43.81,214.9
47.2,2.188,235.1,41.93,197.8
65.9,4.529,215.6,46.66,241.3
51.9,1.562,252.9,41.01,233.2
70.5,4.113,172.1,50.24,229.2
54.0,2.518,212.2,51.22,210.9
50.2,2.603,249.8,56.4,200.7
61.9,3.598,196.2,35.95,220.5
49.3,1.631,237.9,45.64,218.5
51.5,2.245,232.5,50.53,228.7
55.4,2.036,232.5,51.89,212.2
54.9,2.139,230.0,51.63,211.9
61.4,3.802,213.4,38.91,215.7
49.8,1.838,249.4,53.48,223.3
50.8,1.169,247.4,45.75,204.6
49.8,2.472,224.2,44.76,210.3
63.5,3.516,208.6,46.97,225.0
45.8,0.551,227.4,48.31,195.3
50.8,2.48,209.9,47.39,215.8
61.3,3.174,221.3,58.93,227.8
53.7,3.123,221.0,57.15,215.2
52.9,2.495,233.7,43.61,194.7
51.7,2.487,190.5,52.86,215.4
56.1,2.788,210.5,45.94,237.7
58.1,2.972,196.2,36.19,217.2
57.3,2.799,225.2,49.87,226.7
54.6,1.714,237.5,53.48,243.2
53.7,2.135,230.5,56.42,208.8
54.9,1.776,222.4,47.05,205.7
57.1,2.169,213.9,49.27,208.9
55.9,3.339,195.0,52.04,224.6
53.9,1.675,206.7,39.76,223.9
50.4,1.808,210.5,49.99,210.0
54.2,1.931,229.2,51.52,195.7
52.3,3.028,259.2,43.7,192.5
63.4,3.088,190.8,48.67,219.2
57.9,2.888,195.0,46.47,207.3
49.1,2.435,241.5,43.12,205.3
61.3,3.502,197.8,42.21,195.8
52.8,2.216,211.0,48.5,202.6
61.0,2.421,237.9,42.32,199.9
62.4,3.216,186.2,54.92,203.4
56.8,2.378,220.4,50.76,211.4
42.6,0.551,280.3,45.9,214.8
55.1,3.072,210.5,53.5,199.2
50.6,2.206,216.9,49.05,217.7
55.3,3.268,207.9,43.55,216.7
50.3,2.616,238.0,43.65,213.6
54.7,1.839,234.9,48.45,200.3
57.6,2.974,210.9,39.86,211.0
47.5,2.649,233.7,35.28,208.6
64.6,3.404,162.8,48.8,228.5
53.2,2.747,212.8,40.63,213.8
51.1,1.952,224.4,55.88,197.9
49.7,1.694,224.6,52.73,197.6
56.8,2.754,197.9,42.67,211.4
56.9,2.27,230.3,54.18,206.4
56.4,2.774,247.1,33.69,218.9
60.1,2.8,229.3,42.0,219.7
58.3,3.151,182.3,45.73,211.7
47.7,2.027,235.4,40.16,202.7
55.7,1.953,216.7,55.97,214.8
59.5,2.324,253.6,55.36,213.8
54.9,1.709,262.8,58.15,208.7
51.6,2.763,201.5,49.83,227.0
59.7,3.195,196.8,49.36,214.6
56.8,3.251,234.2,48.38,216.2
60.2,4.043,192.4,48.23,208.3
57.6,3.718,243.9,57.1,196.9
54.8,2.647,212.9,45.56,213.7
59.1,2.524,218.4,48.63,199.2
61.0,3.1,206.5,36.85,197.6
60.0,3.602,229.9,48.54,224.1
