event_id,event_time,entity_id,district,source_system,event_type,metric_volume,metric_value,latency_ms,priority,status
EV12_0000001,2025-09-01 00:02:00,БАН_00850,Сектор-З,edge,clear,6,768.24,392.4,high,ok
EV12_0000002,2025-09-01 00:03:00,БАН_01760,Сектор-Е,portal,clear,5,1298.17,344.8,medium,ok
EV12_0000003,2025-09-01 00:05:00,БАН_00027,Сектор-З,iot,authorize,7,832.57,370.7,low,delayed
EV12_0000004,2025-09-01 00:06:00,БАН_03297,Сектор-Г,edge,transfer,10,1542.27,342.0,medium,ok
EV12_0000005,2025-09-01 00:06:00,БАН_01623,Сектор-В,portal,cash_withdraw,7,909.42,131.5,critical,ok
EV12_0000006,2025-09-01 00:08:00,БАН_00838,Сектор-В,portal,clear,6,338.05,81.7,low,ok
EV12_0000007,2025-09-01 00:10:00,БАН_03409,Сектор-А,edge,authorize,10,467.17,223.8,low,ok
EV12_0000008,2025-09-01 00:13:00,БАН_03233,Сектор-Д,iot,authorize,4,721.22,275.5,medium,ok
EV12_0000009,2025-09-01 00:15:00,БАН_00199,Сектор-Г,api,authorize,7,947.73,250.4,high,ok
EV12_0000010,2025-09-01 00:15:00,БАН_00301,Сектор-Ж,api,fraud_alert,6,1441.27,286.6,low,ok
EV12_0000011,2025-09-01 00:16:00,БАН_02718,Сектор-З,api,authorize,4,880.79,271.8,low,ok
EV12_0000012,2025-09-01 00:18:00,БАН_03244,Сектор-Ж,iot,clear,7,839.46,172.2,low,ok
EV12_0000013,2025-09-01 00:18:00,БАН_01285,Сектор-В,api,fraud_alert,6,471.73,310.4,low,ok
EV12_0000014,2025-09-01 00:21:00,БАН_00407,Сектор-А,api,transfer,5,597.37,282.2,medium,ok
EV12_0000015,2025-09-01 00:21:00,БАН_01312,Сектор-В,batch_loader,fraud_alert,4,650.1,330.4,high,ok
EV12_0000016,2025-09-01 00:21:00,БАН_01384,Сектор-В,api,fraud_alert,5,1175.98,193.4,high,ok
EV12_0000017,2025-09-01 00:22:00,БАН_02803,Сектор-З,mobile,authorize,5,938.05,223.8,medium,ok
EV12_0000018,2025-09-01 00:25:00,БАН_00558,Сектор-З,portal,transfer,4,103.34,168.4,medium,ok
EV12_0000019,2025-09-01 00:29:00,БАН_01473,Сектор-З,batch_loader,transfer,6,1502.65,320.1,low,ok
EV12_0000020,2025-09-01 00:32:00,БАН_02314,Сектор-З,mobile,clear,5,1023.49,185.3,medium,ok
EV12_0000021,2025-09-01 00:35:00,БАН_00206,Сектор-Б,mobile,authorize,13,322.32,348.5,medium,ok
EV12_0000022,2025-09-01 00:35:00,БАН_01676,Сектор-Г,portal,cash_withdraw,7,951.51,142.1,high,ok
EV12_0000023,2025-09-01 00:43:00,БАН_03194,Сектор-Б,iot,cash_withdraw,7,1922.38,304.3,low,ok
EV12_0000024,2025-09-01 00:44:00,БАН_02357,Сектор-Д,batch_loader,clear,7,1032.11,220.3,medium,ok
EV12_0000025,2025-09-01 00:44:00,БАН_02182,Сектор-Ж,edge,fraud_alert,7,1602.87,230.5,low,ok
EV12_0000026,2025-09-01 00:45:00,БАН_02737,Сектор-Г,api,authorize,6,459.58,373.1,high,ok
EV12_0000027,2025-09-01 00:46:00,БАН_00993,Сектор-З,portal,cash_withdraw,9,1337.87,177.3,medium,ok
EV12_0000028,2025-09-01 00:51:00,БАН_02990,Сектор-Б,edge,clear,3,1195.56,184.8,medium,ok
EV12_0000029,2025-09-01 00:53:00,БАН_02167,Сектор-В,mobile,clear,2,1949.64,364.8,low,ok
EV12_0000030,2025-09-01 00:56:00,БАН_00979,Сектор-З,batch_loader,cash_withdraw,10,2070.39,301.4,low,ok
EV12_0000031,2025-09-01 01:00:00,БАН_01535,Сектор-А,portal,cash_withdraw,7,564.62,233.7,high,ok
EV12_0000032,2025-09-01 01:01:00,БАН_00189,Сектор-З,edge,cash_withdraw,6,1297.2,221.4,medium,ok
EV12_0000033,2025-09-01 01:05:00,БАН_03310,Сектор-Г,mobile,transfer,6,559.62,114.8,medium,ok
EV12_0000034,2025-09-01 01:09:00,БАН_01864,Сектор-Б,api,transfer,7,675.84,292.0,medium,ok
EV12_0000035,2025-09-01 01:15:00,БАН_03050,Сектор-Е,edge,transfer,8,713.69,212.2,medium,ok
EV12_0000036,2025-09-01 01:15:00,БАН_01074,Сектор-Д,portal,authorize,8,2481.54,262.4,medium,failed
EV12_0000037,2025-09-01 01:16:00,БАН_02553,Сектор-Е,api,authorize,6,1330.23,265.3,critical,ok
EV12_0000038,2025-09-01 01:17:00,БАН_03268,Сектор-З,portal,clear,6,319.44,268.8,high,ok
