event_time,event_type,source_id,entity_id,region,channel,user_segment,priority,status,metric_volume,metric_value,payload_kb,processing_delay_sec,sla_target_sec
2026-02-04 22:39:05,mobile_login,S12-0057,E12-003439,Крупный банк,mobile,mass,low,ok,1,1819.4,5.0,2,15
2026-02-12 10:31:36,card_auth,S12-0180,E12-001756,Крупный банк,web,mass,low,ok,4,4305.93,5.42,25,15
2026-02-06 20:56:13,mobile_login,S12-0022,E12-000464,Крупный банк,atm,mass,high,ok,4,1876.09,1.48,31,15
2026-02-16 11:03:39,risk_alert,S12-0164,E12-004046,Крупный банк,atm,social,low,ok,4,4127.1,3.22,45,15
2026-02-02 12:03:00,card_auth,S12-0397,E12-001635,Крупный банк,atm,mass,low,warning,7,8681.84,3.12,21,15
2026-02-21 10:33:47,card_capture,S12-0365,E12-005937,Крупный банк,atm,business,low,ok,1,12551.09,2.75,20,15
2026-02-07 10:49:38,mobile_login,S12-0094,E12-005551,Крупный банк,mobile,mass,low,delayed,5,3127.06,4.04,109,15
2026-02-07 17:09:00,card_auth,S12-0193,E12-000924,Крупный банк,atm,mass,medium,ok,4,8663.0,3.22,32,15
2026-02-21 10:04:02,transfer,S12-0345,E12-002807,Крупный банк,mobile,business,low,ok,2,5508.03,1.91,57,15
2026-02-14 18:36:22,card_auth,S12-0337,E12-005606,Крупный банк,web,mass,low,ok,4,20562.56,3.26,48,15
2026-02-07 08:03:00,card_auth,S12-0207,E12-004882,Крупный банк,atm,mass,medium,ok,3,3101.67,3.02,22,15
2026-02-14 21:30:33,card_auth,S12-0361,E12-001622,Крупный банк,mobile,mass,high,ok,2,5176.43,1.96,131,15
2026-02-09 05:15:00,transfer,S12-0031,E12-001398,Крупный банк,atm,mass,low,ok,3,7579.24,1.24,32,15
2026-02-11 19:05:00,mobile_login,S12-0387,E12-005152,Крупный банк,atm,vip,medium,ok,2,817.74,2.29,22,15
2026-02-07 20:45:25,mobile_login,S12-0139,E12-000709,Крупный банк,web,vip,high,ok,2,6205.87,3.72,134,15
2026-02-19 00:12:40,card_capture,S12-0332,E12-004566,Крупный банк,web,business,high,ok,4,6085.62,2.72,17,15
2026-02-13 06:28:30,transfer,S12-0185,E12-005683,Крупный банк,atm,mass,low,ok,1,1437.97,4.14,18,15
2026-02-20 02:07:00,transfer,S12-0149,E12-005210,Крупный банк,mobile,business,medium,delayed,2,2067.45,2.61,57,15
2026-02-02 21:36:13,transfer,S12-0041,E12-004411,Крупный банк,web,mass,low,ok,2,6407.41,5.14,77,15
2026-02-03 13:43:43,mobile_login,S12-0063,E12-001021,Крупный банк,web,mass,high,ok,3,1951.19,4.79,47,15
2026-02-10 02:09:00,card_capture,S12-0372,E12-003565,Крупный банк,web,social,medium,ok,2,2026.19,6.13,99,15
2026-02-12 22:00:31,card_auth,S12-0108,E12-001066,Крупный банк,atm,mass,low,ok,2,8324.06,5.36,12,15
2026-02-22 15:08:26,card_auth,S12-0225,E12-000101,Крупный банк,mobile,vip,medium,ok,2,2267.92,2.27,61,15
2026-02-14 10:29:07,card_auth,S12-0186,E12-005273,Крупный банк,atm,business,medium,ok,4,5201.39,5.51,22,15
2026-02-08 15:12:24,transfer,S12-0007,E12-002135,Крупный банк,atm,mass,low,ok,6,5821.18,2.3,21,15
2026-02-11 02:11:26,transfer,S12-0094,E12-001857,Крупный банк,web,social,low,warning,2,4937.3,7.4,120,15
2026-02-11 02:05:48,card_capture,S12-0343,E12-000533,Крупный банк,atm,business,medium,ok,2,5389.01,3.39,24,15
2026-02-11 19:44:31,mobile_login,S12-0033,E12-001814,Крупный банк,atm,mass,low,warning,3,4791.91,5.73,60,15
2026-02-18 18:57:23,transfer,S12-0236,E12-005299,Крупный банк,mobile,mass,low,ok,2,6515.35,4.17,40,15
2026-02-09 11:59:30,transfer,S12-0283,E12-004891,Крупный банк,atm,mass,low,ok,3,6651.35,3.62,31,15
2026-02-26 07:53:53,card_capture,S12-0269,E12-004214,Крупный банк,mobile,business,high,ok,3,4823.25,2.74,166,15
2026-02-26 18:44:39,card_auth,S12-0021,E12-004064,Крупный банк,mobile,mass,medium,ok,1,4852.02,3.06,55,15
2026-02-18 15:05:00,mobile_login,S12-0267,E12-001220,Крупный банк,atm,mass,high,ok,3,3073.9,4.11,78,15
2026-02-27 12:11:05,mobile_login,S12-0254,E12-003386,Крупный банк,web,mass,high,ok,4,7079.56,3.28,86,15
2026-02-09 23:06:00,card_capture,S12-0203,E12-003892,Крупный банк,atm,mass,low,ok,2,1132.23,2.6,78,15
2026-02-13 10:03:41,card_auth,S12-0231,E12-000424,Крупный банк,atm,business,low,ok,3,4454.6,1.61,65,15
2026-02-02 01:08:51,card_auth,S12-0117,E12-005581,Крупный банк,atm,social,low,ok,4,829.93,2.38,36,15
2026-02-07 01:13:59,mobile_login,S12-0151,E12-003384,Крупный банк,web,business,low,ok,4,4464.84,3.64,125,15
2026-02-05 04:32:20,risk_alert,S12-0020,E12-005877,Крупный банк,atm,business,high,delayed,2,4935.75,4.35,64,15
2026-02-07 05:20:13,card_capture,S12-0336,E12-001092,Крупный банк,mobile,vip,low,warning,3,7687.53,5.37,106,15
2026-02-03 09:37:58,card_auth,S12-0323,E12-004569,Крупный банк,atm,mass,medium,ok,2,1186.82,2.52,44,15
2026-02-19 13:59:24,transfer,S12-0098,E12-001355,Крупный банк,web,mass,medium,ok,3,4996.29,4.6,36,15
2026-02-06 11:22:36,mobile_login,S12-0196,E12-005560,Крупный банк,mobile,mass,medium,ok,3,5690.11,4.62,17,15
2026-02-01 17:44:46,card_auth,S12-0016,E12-005078,Крупный банк,web,mass,low,ok,6,2240.04,4.35,157,15
2026-02-02 11:49:38,mobile_login,S12-0348,E12-001688,Крупный банк,mobile,business,medium,ok,1,3918.15,3.79,79,15
2026-02-28 16:34:13,card_auth,S12-0089,E12-001082,Крупный банк,web,mass,low,ok,2,5182.81,4.51,130,15
2026-02-13 20:00:00,card_capture,S12-0372,E12-001761,Крупный банк,web,business,medium,ok,1,3082.69,3.75,111,15
2026-02-01 17:08:00,card_auth,S12-0274,E12-004239,Крупный банк,atm,mass,medium,ok,5,3150.55,1.8,86,15
2026-02-11 07:01:00,card_auth,S12-0336,E12-001369,Крупный банк,mobile,business,low,ok,5,6352.19,3.44,12,15
2026-02-19 10:21:05,risk_alert,S12-0224,E12-000775,Крупный банк,mobile,mass,low,ok,3,3811.61,4.21,66,15
2026-02-11 15:27:52,mobile_login,S12-0330,E12-002420,Крупный банк,atm,mass,low,delayed,2,3395.25,2.68,45,15
2026-02-25 05:45:46,mobile_login,S12-0319,E12-005491,Крупный банк,web,social,medium,ok,6,4268.2,3.83,76,15
2026-02-05 05:31:02,card_auth,S12-0146,E12-005010,Крупный банк,atm,mass,low,warning,3,2342.24,2.63,85,15
2026-02-12 15:06:00,risk_alert,S12-0274,E12-001859,Крупный банк,web,mass,low,ok,1,2041.76,4.18,30,15
2026-02-20 09:54:44,card_auth,S12-0102,E12-003645,Крупный банк,web,mass,medium,ok,4,7961.66,3.24,16,15
2026-02-24 03:05:37,card_capture,S12-0312,E12-004859,Крупный банк,mobile,mass,high,ok,3,924.83,4.88,71,15
2026-02-08 20:52:36,mobile_login,S12-0190,E12-005503,Крупный банк,web,mass,low,,4,4043.64,1.2,152,15
2026-02-28 20:45:07,card_auth,S12-0386,E12-003886,Крупный банк,mobile,mass,low,ok,2,3114.24,3.4,117,15
2026-02-23 19:58:01,card_auth,S12-0192,E12-002563,Крупный банк,web,social,low,ok,2,6647.97,3.45,33,15
2026-02-26 01:26:54,card_capture,S12-0249,E12-005179,Крупный банк,mobile,mass,high,delayed,3,8166.15,3.02,34,15
2026-02-01 11:26:27,card_auth,S12-0382,E12-004428,Крупный банк,web,mass,low,ok,4,7087.88,4.94,101,15
2026-02-08 05:43:08,transfer,S12-0322,E12-000279,Крупный банк,atm,social,low,ok,2,1507.5,2.39,34,15
2026-02-21 10:50:01,transfer,S12-0149,E12-001089,Крупный банк,mobile,social,high,ok,2,6030.34,3.29,172,15
2026-02-10 00:06:51,card_auth,S12-0291,E12-000230,Крупный банк,mobile,mass,medium,ok,2,2775.67,3.29,105,15
2026-02-18 07:03:24,mobile_login,S12-0275,E12-005058,Крупный банк,web,mass,medium,ok,2,2056.76,3.99,15,15
2026-02-10 21:37:36,card_capture,S12-0213,E12-003891,Крупный банк,atm,mass,low,ok,4,6463.72,4.27,76,15
2026-02-24 03:43:02,card_auth,S12-0169,E12-001113,Крупный банк,mobile,mass,high,ok,2,2631.18,2.41,120,15
2026-02-14 19:41:10,mobile_login,S12-0301,E12-005903,Крупный банк,mobile,mass,low,delayed,2,2593.01,2.88,53,15
2026-02-14 11:01:00,mobile_login,S12-0353,E12-000676,Крупный банк,mobile,vip,low,delayed,2,2749.96,2.93,13,15
2026-02-02 16:37:07,card_capture,S12-0097,E12-001231,Крупный банк,atm,business,medium,ok,3,4692.94,3.07,42,15
2026-02-02 15:32:55,card_auth,S12-0296,E12-005512,Крупный банк,atm,mass,medium,ok,2,6416.3,4.11,31,15
2026-02-14 22:05:29,card_auth,S12-0147,E12-005179,Крупный банк,mobile,business,medium,delayed,3,3821.41,6.04,47,15
2026-02-18 10:02:21,transfer,S12-0349,E12-005336,Крупный банк,web,mass,low,ok,2,2666.4,4.01,22,15
2026-02-15 21:10:13,mobile_login,S12-0102,E12-003001,Крупный банк,mobile,business,low,warning,3,1966.53,5.06,32,15
2026-02-24 15:19:31,card_auth,S12-0032,E12-004134,Крупный банк,web,mass,low,,6,2321.59,4.58,70,15
2026-02-21 08:06:02,card_capture,S12-0053,E12-002411,Крупный банк,atm,mass,high,ok,3,12554.76,3.84,71,15
2026-02-02 15:06:00,risk_alert,S12-0351,E12-003352,Крупный банк,mobile,mass,high,error,4,3716.15,3.37,97,15
2026-02-11 11:23:26,transfer,S12-0397,E12-004628,Крупный банк,web,mass,high,ok,1,8942.91,4.53,102,15
2026-02-24 06:41:32,card_auth,S12-0109,E12-000341,Крупный банк,mobile,vip,medium,ok,6,3210.41,2.29,36,15
2026-02-12 16:07:49,risk_alert,S12-0184,E12-002752,Крупный банк,web,mass,low,ok,3,1668.45,3.32,83,15
2026-02-22 13:12:13,transfer,S12-0059,E12-003839,Крупный банк,atm,mass,medium,ok,3,2146.94,1.74,15,15
2026-02-02 14:40:33,transfer,S12-0023,E12-001252,Крупный банк,web,vip,medium,ok,3,,2.98,66,15
